Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2024,11,1,    17.2,    14.8,    17.0,    17.2,    28.3,    32.3,    23.6,     9.4,    52.6
East Coast Parkway,2024,11,2,     0.8,     0.2,     0.4,     0.6,    28.0,    30.6,    26.5,     9.0,    48.9
East Coast Parkway,2024,11,3,     0.8,     0.6,     0.6,     0.6,    28.2,    30.1,    26.7,     8.0,    30.2
East Coast Parkway,2024,11,4,     7.0,     3.4,     5.4,     6.6,    27.3,    29.0,    24.2,    10.2,    47.8
East Coast Parkway,2024,11,5,     0.0,     0.0,     0.0,     0.0,    28.2,    30.0,    26.1,     9.1,    35.2
East Coast Parkway,2024,11,6,     0.0,     0.0,     0.0,     0.0,    27.9,    29.3,    26.3,    11.1,    47.2
East Coast Parkway,2024,11,7,     4.6,     4.6,     4.6,     4.6,    27.6,    30.2,    26.3,     9.9,    32.8
East Coast Parkway,2024,11,8,    11.6,     9.2,    10.4,    11.0,    28.3,    30.5,    24.5,    12.0,    38.2
East Coast Parkway,2024,11,9,     0.0,     0.0,     0.0,     0.0,    28.3,    30.6,    26.8,     6.5,    27.0
East Coast Parkway,2024,11,10,    39.4,    13.8,    26.4,    39.0,    28.1,    30.0,    24.3,    10.4,    48.5
East Coast Parkway,2024,11,11,     0.0,     0.0,     0.0,     0.0,    28.3,    30.6,    26.5,     8.6,    41.9
East Coast Parkway,2024,11,12,     0.0,     0.0,     0.0,     0.0,    28.4,    30.1,    26.9,    10.2,    36.3
East Coast Parkway,2024,11,13,    64.8,    37.8,    62.0,    64.8,    27.6,    30.3,    22.9,     8.1,    43.9
East Coast Parkway,2024,11,14,     0.0,     0.0,     0.0,     0.0,    28.3,    30.5,    25.8,     7.6,    30.9
East Coast Parkway,2024,11,15,     0.0,     0.0,     0.0,     0.0,    28.7,    30.7,    26.8,     7.4,    32.4
East Coast Parkway,2024,11,16,    13.6,     8.6,    10.6,    11.4,    27.6,    31.6,    24.7,     8.4,    34.6
East Coast Parkway,2024,11,17,    11.4,     9.8,    10.0,    11.0,    27.2,    30.5,    25.1,     8.3,    26.3
East Coast Parkway,2024,11,18,     0.8,     0.4,     0.4,     0.4,    27.3,    29.5,    26.3,    11.1,    41.5
East Coast Parkway,2024,11,19,     9.0,     3.6,     5.4,     6.8,    26.8,    28.8,    25.7,     9.1,    33.5
East Coast Parkway,2024,11,20,     0.0,     0.0,     0.0,     0.0,    27.2,    29.3,    26.0,    10.3,    39.3
East Coast Parkway,2024,11,21,     0.0,     0.0,     0.0,     0.0,    27.9,    31.1,    26.3,     8.9,    28.9
East Coast Parkway,2024,11,22,    22.0,    10.8,    14.8,    16.4,    27.1,    30.7,    24.3,     8.6,    33.2
East Coast Parkway,2024,11,23,     0.6,     0.6,     1.2,     2.4,    27.7,    31.4,    24.6,     9.0,    28.5
East Coast Parkway,2024,11,24,     3.6,     3.2,     3.6,     3.6,    28.2,    30.3,    26.9,     8.1,    30.6
East Coast Parkway,2024,11,25,     1.6,     1.4,     1.4,     1.4,    28.2,    30.4,    26.7,     8.0,    35.6
East Coast Parkway,2024,11,26,    61.2,    22.2,    33.4,    34.0,    27.0,    30.6,    24.4,     8.5,    36.3
East Coast Parkway,2024,11,27,    23.0,    12.0,    16.4,    21.2,    26.4,    29.0,    24.7,     9.6,    33.9
East Coast Parkway,2024,11,28,    23.0,    17.4,    20.0,    20.6,    26.7,    29.4,    25.0,     8.9,    25.9
East Coast Parkway,2024,11,29,    26.6,    14.0,    16.0,    17.8,    26.1,    27.5,    23.7,     9.3,    38.9
East Coast Parkway,2024,11,30,     0.0,     0.0,     0.0,     0.0,    28.0,    30.3,    25.7,     8.9,    31.3
